UniqueID,GRE,TOEFL,SOP,LOR,CGPA,Research,Discipline,Admit
1,337,118,4.5,4.5,3.892,yes,Natural Science,Accepted
2,324,107,4,4.5,3.5799999999999996,yes,Natural Science,Accepted
3,316,104,3,3.5,3.232,yes,Applied Science,Accepted
4,322,110,3.5,2.5,3.5,yes,Applied Science,Accepted
5,314,103,2,3,3.3160000000000003,no,Social Science,Accepted
6,330,115,4.5,3,3.768,yes,Formal Science,Accepted
7,321,109,3,4,3.312,yes,Applied Science,Accepted
8,308,101,3,4,3.192,no,Social Science,Accepted
9,302,102,2,1.5,3.232,no,Humanities,Rejected
10,323,108,3.5,3,3.472,no,Applied Science,Rejected
11,325,106,3.5,4,3.3920000000000003,yes,Applied Science,Rejected
12,327,111,4,4.5,3.632,yes,Natural Science,Accepted
13,328,112,4,4.5,3.672,yes,Natural Science,Accepted
14,307,109,4,3,3.232,yes,Applied Science,Rejected
15,311,104,3.5,2,3.312,yes,Applied Science,Rejected
16,314,105,3.5,2.5,3.3520000000000003,no,Applied Science,Rejected
17,317,107,4,3,3.5119999999999996,no,Applied Science,Accepted
18,319,106,4,3,3.232,yes,Applied Science,Accepted
19,318,110,4,3,3.5520000000000005,no,Applied Science,Rejected
20,303,102,3.5,3,3.432,no,Applied Science,Rejected
21,312,107,3,2,3.192,yes,Applied Science,Rejected
22,325,114,3,2,3.3920000000000003,no,Natural Science,Accepted
23,328,116,5,5,3.832,yes,Formal Science,Accepted
24,334,119,5,4.5,3.912,yes,Formal Science,Accepted
25,336,119,4,3.5,3.952,yes,Formal Science,Accepted
26,340,120,4.5,4.5,3.872,yes,Formal Science,Accepted
27,322,109,4.5,3.5,3.5520000000000005,no,Formal Science,Accepted
28,298,98,1.5,2.5,3.032,yes,Social Science,Rejected
29,295,93,2,2,2.912,no,Humanities,Rejected
30,310,99,1.5,2,2.952,no,Social Science,Rejected
31,300,97,3,3,3.272,yes,Social Science,Accepted
32,327,103,4,4,3.3520000000000003,yes,Applied Science,Accepted
33,338,118,3,4.5,3.792,yes,Natural Science,Accepted
34,340,114,4,4,3.872,yes,Formal Science,Accepted
35,331,112,4,5,3.952,yes,Formal Science,Accepted
36,320,110,5,5,3.712,yes,Formal Science,Accepted
37,299,106,4,4,3.3920000000000003,no,Social Science,Rejected
38,300,105,1,2,3.152,no,Humanities,Rejected
39,304,105,3,1.5,3.032,no,Humanities,Rejected
40,307,108,4,3.5,3.112,no,Social Science,Rejected
41,308,110,3.5,3,3.232,yes,Applied Science,Rejected
42,316,105,2.5,2.5,3.312,yes,Social Science,Rejected
43,313,107,2.5,2,3.432,yes,Social Science,Rejected
44,332,117,4.5,4,3.672,no,Natural Science,Accepted
45,326,113,4.5,4,3.792,yes,Formal Science,Accepted
46,322,110,5,4,3.672,yes,Formal Science,Accepted
47,329,114,4,5,3.752,yes,Formal Science,Accepted
48,339,119,4.5,4,3.912,no,Formal Science,Accepted
49,321,110,3.5,5,3.572,yes,Applied Science,Accepted
50,327,111,3,4,3.3920000000000003,yes,Natural Science,Accepted
51,313,98,2.5,4.5,3.3520000000000003,yes,Applied Science,Accepted
52,312,100,1.5,3.5,3.192,yes,Social Science,Rejected
53,334,116,4,3,3.232,yes,Natural Science,Accepted
54,324,112,4,2.5,3.272,yes,Natural Science,Accepted
55,322,110,3,3.5,3.232,no,Applied Science,Accepted
56,320,103,3,3,3.112,no,Applied Science,Rejected
57,316,102,2,3,2.992,no,Applied Science,Rejected
58,298,99,4,2,3.072,no,Social Science,Rejected
59,300,99,3,2,2.752,yes,Humanities,Rejected
60,311,104,2,2,3.3520000000000003,no,Social Science,Rejected
61,309,100,3,3,3.272,no,Social Science,Rejected
62,307,101,4,3,3.312,no,Applied Science,Rejected
63,304,105,3,3,3.312,yes,Social Science,Rejected
64,315,107,4,3,3.432,yes,Social Science,Rejected
65,325,111,3,3.5,3.5119999999999996,no,Applied Science,Rejected
66,325,112,3.5,3.5,3.6,no,Natural Science,Rejected
67,327,114,3,3,3.64,no,Applied Science,Rejected
68,316,107,3.5,3.5,3.4880000000000004,yes,Social Science,Rejected
69,318,109,3.5,4,3.72,yes,Applied Science,Accepted
70,328,115,4.5,4,3.696,yes,Natural Science,Accepted
71,332,118,5,5,3.888,yes,Formal Science,Accepted
72,336,112,5,5,3.936,yes,Formal Science,Accepted
73,321,111,5,5,3.812,yes,Formal Science,Accepted
74,314,108,4.5,4,3.648,yes,Natural Science,Accepted
75,314,106,3,5,3.592,no,Applied Science,Accepted
76,329,114,2,4,3.4560000000000004,yes,Social Science,Accepted
77,327,112,3,3,3.5200000000000005,yes,Applied Science,Accepted
78,301,99,3,2,3.3200000000000003,no,Social Science,Rejected
79,296,95,3,2,3.048,yes,Social Science,Rejected
80,294,93,1.5,2,2.976,no,Humanities,Rejected
