UniqueID,GRE,TOEFL,SOP,LOR,CGPA,Research,Discipline,Admit,GPA1,Year
1,337,118,4.5,4.5,3.892,yes,Science & Eng,Accepted,3.453,2018
2,324,107,4,4.5,3.5799999999999996,yes,Science & Eng,Accepted,3.303,2018
3,316,104,3,3.5,3.232,yes,Applied Science,Accepted,2.752,2018
4,322,110,3.5,2.5,3.5,yes,Applied Science,Accepted,3.506,2018
5,314,103,2,3,3.3160000000000003,no,Humanities and Soc Science,Accepted,3.069,2018
6,330,115,4.5,3,3.768,yes,Science & Eng,Accepted,3.291,2018
7,321,109,3,4,3.312,yes,Applied Science,Accepted,3.096,2018
8,308,101,3,4,3.192,no,Humanities and Soc Science,Accepted,3.026,2018
9,302,102,2,1.5,3.232,no,Humanities and Soc Science,Rejected,NA,2018
10,323,108,3.5,3,3.472,no,Applied Science,Rejected,NA,2018
11,325,106,3.5,4,3.3920000000000003,yes,Applied Science,Rejected,NA,2018
12,327,111,4,4.5,3.632,yes,Science & Eng,Accepted,3.397,2018
13,328,112,4,4.5,3.672,yes,Science & Eng,Accepted,3.234,2018
14,307,109,4,3,3.232,yes,Applied Science,Rejected,NA,2018
15,311,104,3.5,2,3.312,yes,Applied Science,Rejected,NA,2018
16,314,105,3.5,2.5,3.3520000000000003,no,Applied Science,Rejected,NA,2018
17,317,107,4,3,3.5119999999999996,no,Applied Science,Accepted,3.195,2018
18,319,106,4,3,3.232,yes,Applied Science,Accepted,3.107,2018
19,318,110,4,3,3.5520000000000005,no,Applied Science,Rejected,NA,2018
20,303,102,3.5,3,3.432,no,Applied Science,Rejected,NA,2018
21,312,107,3,2,3.192,yes,Applied Science,Rejected,NA,2018
22,325,114,3,2,3.3920000000000003,no,Science & Eng,Accepted,3.235,2018
23,328,116,5,5,3.832,yes,Science & Eng,Accepted,3.534,2018
24,334,119,5,4.5,3.912,yes,Science & Eng,Accepted,3.201,2018
25,336,119,4,3.5,3.952,yes,Science & Eng,Accepted,3.763,2018
26,340,120,4.5,4.5,3.872,yes,Science & Eng,Accepted,3.547,2018
27,322,109,4.5,3.5,3.5520000000000005,no,Science & Eng,Accepted,3.208,2018
28,298,98,1.5,2.5,3.032,yes,Humanities and Soc Science,Rejected,NA,2018
29,295,93,2,2,2.912,no,Humanities and Soc Science,Rejected,NA,2018
30,310,99,1.5,2,2.952,no,Humanities and Soc Science,Rejected,NA,2018
31,300,97,3,3,3.272,yes,Humanities and Soc Science,Accepted,3.23,2018
32,327,103,4,4,3.3520000000000003,yes,Applied Science,Accepted,3.018,2018
33,338,118,3,4.5,3.792,yes,Science & Eng,Accepted,3.556,2018
34,340,114,4,4,3.872,yes,Science & Eng,Accepted,3.548,2018
35,331,112,4,5,3.952,yes,Science & Eng,Accepted,3.363,2018
36,320,110,5,5,3.712,yes,Science & Eng,Accepted,3.316,2018
37,299,106,4,4,3.3920000000000003,no,Humanities and Soc Science,Rejected,NA,2018
